genome1,genome2,dist,similarity
Listeria_monocytogenes_complete_genome.fasta,Listeria_monocytogenes_complete_genome.fasta,0.0,1.0
Escherichia_coli_complete_genome.fasta,Listeria_monocytogenes_complete_genome.fasta,1.0,0.0
Saccharomyces_cerevisiae_draft_genome.fasta,Listeria_monocytogenes_complete_genome.fasta,1.0,0.0
Staphylococcus_aureus_complete_genome.fasta,Listeria_monocytogenes_complete_genome.fasta,0.295981,0.704019
Pseudomonas_aeruginosa_complete_genome.fasta,Listeria_monocytogenes_complete_genome.fasta,1.0,0.0
Lactobacillus_fermentum_complete_genome.fasta,Listeria_monocytogenes_complete_genome.fasta,1.0,0.0
Cryptococcus_neoformans_draft_genome.fasta,Listeria_monocytogenes_complete_genome.fasta,1.0,0.0
Bacillus_subtilis_complete_genome.fasta,Listeria_monocytogenes_complete_genome.fasta,0.295981,0.704019
Salmonella_enterica_complete_genome.fasta,Listeria_monocytogenes_complete_genome.fasta,1.0,0.0
Enterococcus_faecalis_complete_genome.fasta,Listeria_monocytogenes_complete_genome.fasta,0.19729197,0.802708
Listeria_monocytogenes_complete_genome.fasta,Escherichia_coli_complete_genome.fasta,1.0,0.0
Escherichia_coli_complete_genome.fasta,Escherichia_coli_complete_genome.fasta,0.0,1.0
Saccharomyces_cerevisiae_draft_genome.fasta,Escherichia_coli_complete_genome.fasta,1.0,0.0
Staphylococcus_aureus_complete_genome.fasta,Escherichia_coli_complete_genome.fasta,1.0,0.0
Pseudomonas_aeruginosa_complete_genome.fasta,Escherichia_coli_complete_genome.fasta,1.0,0.0
Lactobacillus_fermentum_complete_genome.fasta,Escherichia_coli_complete_genome.fasta,1.0,0.0
Cryptococcus_neoformans_draft_genome.fasta,Escherichia_coli_complete_genome.fasta,1.0,0.0
Bacillus_subtilis_complete_genome.fasta,Escherichia_coli_complete_genome.fasta,1.0,0.0
Salmonella_enterica_complete_genome.fasta,Escherichia_coli_complete_genome.fasta,0.178173,0.821827
Enterococcus_faecalis_complete_genome.fasta,Escherichia_coli_complete_genome.fasta,1.0,0.0
Listeria_monocytogenes_complete_genome.fasta,Saccharomyces_cerevisiae_draft_genome.fasta,1.0,0.0
Escherichia_coli_complete_genome.fasta,Saccharomyces_cerevisiae_draft_genome.fasta,1.0,0.0
Saccharomyces_cerevisiae_draft_genome.fasta,Saccharomyces_cerevisiae_draft_genome.fasta,0.0,1.0
Staphylococcus_aureus_complete_genome.fasta,Saccharomyces_cerevisiae_draft_genome.fasta,1.0,0.0
Pseudomonas_aeruginosa_complete_genome.fasta,Saccharomyces_cerevisiae_draft_genome.fasta,1.0,0.0
Lactobacillus_fermentum_complete_genome.fasta,Saccharomyces_cerevisiae_draft_genome.fasta,1.0,0.0
Cryptococcus_neoformans_draft_genome.fasta,Saccharomyces_cerevisiae_draft_genome.fasta,1.0,0.0
Bacillus_subtilis_complete_genome.fasta,Saccharomyces_cerevisiae_draft_genome.fasta,1.0,0.0
Salmonella_enterica_complete_genome.fasta,Saccharomyces_cerevisiae_draft_genome.fasta,1.0,0.0
Enterococcus_faecalis_complete_genome.fasta,Saccharomyces_cerevisiae_draft_genome.fasta,1.0,0.0
Listeria_monocytogenes_complete_genome.fasta,Staphylococcus_aureus_complete_genome.fasta,0.295981,0.704019
Escherichia_coli_complete_genome.fasta,Staphylococcus_aureus_complete_genome.fasta,1.0,0.0
Saccharomyces_cerevisiae_draft_genome.fasta,Staphylococcus_aureus_complete_genome.fasta,1.0,0.0
Staphylococcus_aureus_complete_genome.fasta,Staphylococcus_aureus_complete_genome.fasta,0.0,1.0
Pseudomonas_aeruginosa_complete_genome.fasta,Staphylococcus_aureus_complete_genome.fasta,1.0,0.0
Lactobacillus_fermentum_complete_genome.fasta,Staphylococcus_aureus_complete_genome.fasta,1.0,0.0
Cryptococcus_neoformans_draft_genome.fasta,Staphylococcus_aureus_complete_genome.fasta,1.0,0.0
Bacillus_subtilis_complete_genome.fasta,Staphylococcus_aureus_complete_genome.fasta,0.295981,0.704019
Salmonella_enterica_complete_genome.fasta,Staphylococcus_aureus_complete_genome.fasta,1.0,0.0
Enterococcus_faecalis_complete_genome.fasta,Staphylococcus_aureus_complete_genome.fasta,0.295981,0.704019
Listeria_monocytogenes_complete_genome.fasta,Pseudomonas_aeruginosa_complete_genome.fasta,1.0,0.0
Escherichia_coli_complete_genome.fasta,Pseudomonas_aeruginosa_complete_genome.fasta,1.0,0.0
Saccharomyces_cerevisiae_draft_genome.fasta,Pseudomonas_aeruginosa_complete_genome.fasta,1.0,0.0
Staphylococcus_aureus_complete_genome.fasta,Pseudomonas_aeruginosa_complete_genome.fasta,1.0,0.0
Pseudomonas_aeruginosa_complete_genome.fasta,Pseudomonas_aeruginosa_complete_genome.fasta,0.0,1.0
Lactobacillus_fermentum_complete_genome.fasta,Pseudomonas_aeruginosa_complete_genome.fasta,1.0,0.0
Cryptococcus_neoformans_draft_genome.fasta,Pseudomonas_aeruginosa_complete_genome.fasta,1.0,0.0
Bacillus_subtilis_complete_genome.fasta,Pseudomonas_aeruginosa_complete_genome.fasta,1.0,0.0
Salmonella_enterica_complete_genome.fasta,Pseudomonas_aeruginosa_complete_genome.fasta,1.0,0.0
Enterococcus_faecalis_complete_genome.fasta,Pseudomonas_aeruginosa_complete_genome.fasta,1.0,0.0
Listeria_monocytogenes_complete_genome.fasta,Lactobacillus_fermentum_complete_genome.fasta,1.0,0.0
Escherichia_coli_complete_genome.fasta,Lactobacillus_fermentum_complete_genome.fasta,1.0,0.0
Saccharomyces_cerevisiae_draft_genome.fasta,Lactobacillus_fermentum_complete_genome.fasta,1.0,0.0
Staphylococcus_aureus_complete_genome.fasta,Lactobacillus_fermentum_complete_genome.fasta,1.0,0.0
Pseudomonas_aeruginosa_complete_genome.fasta,Lactobacillus_fermentum_complete_genome.fasta,1.0,0.0
Lactobacillus_fermentum_complete_genome.fasta,Lactobacillus_fermentum_complete_genome.fasta,0.0,1.0
Cryptococcus_neoformans_draft_genome.fasta,Lactobacillus_fermentum_complete_genome.fasta,1.0,0.0
Bacillus_subtilis_complete_genome.fasta,Lactobacillus_fermentum_complete_genome.fasta,1.0,0.0
Salmonella_enterica_complete_genome.fasta,Lactobacillus_fermentum_complete_genome.fasta,1.0,0.0
Enterococcus_faecalis_complete_genome.fasta,Lactobacillus_fermentum_complete_genome.fasta,1.0,0.0
Listeria_monocytogenes_complete_genome.fasta,Cryptococcus_neoformans_draft_genome.fasta,1.0,0.0
Escherichia_coli_complete_genome.fasta,Cryptococcus_neoformans_draft_genome.fasta,1.0,0.0
Saccharomyces_cerevisiae_draft_genome.fasta,Cryptococcus_neoformans_draft_genome.fasta,1.0,0.0
Staphylococcus_aureus_complete_genome.fasta,Cryptococcus_neoformans_draft_genome.fasta,1.0,0.0
Pseudomonas_aeruginosa_complete_genome.fasta,Cryptococcus_neoformans_draft_genome.fasta,1.0,0.0
Lactobacillus_fermentum_complete_genome.fasta,Cryptococcus_neoformans_draft_genome.fasta,1.0,0.0
Cryptococcus_neoformans_draft_genome.fasta,Cryptococcus_neoformans_draft_genome.fasta,0.0,1.0
Bacillus_subtilis_complete_genome.fasta,Cryptococcus_neoformans_draft_genome.fasta,1.0,0.0
Salmonella_enterica_complete_genome.fasta,Cryptococcus_neoformans_draft_genome.fasta,1.0,0.0
Enterococcus_faecalis_complete_genome.fasta,Cryptococcus_neoformans_draft_genome.fasta,1.0,0.0
Listeria_monocytogenes_complete_genome.fasta,Bacillus_subtilis_complete_genome.fasta,0.295981,0.704019
Escherichia_coli_complete_genome.fasta,Bacillus_subtilis_complete_genome.fasta,1.0,0.0
Saccharomyces_cerevisiae_draft_genome.fasta,Bacillus_subtilis_complete_genome.fasta,1.0,0.0
Staphylococcus_aureus_complete_genome.fasta,Bacillus_subtilis_complete_genome.fasta,0.295981,0.704019
Pseudomonas_aeruginosa_complete_genome.fasta,Bacillus_subtilis_complete_genome.fasta,1.0,0.0
Lactobacillus_fermentum_complete_genome.fasta,Bacillus_subtilis_complete_genome.fasta,1.0,0.0
Cryptococcus_neoformans_draft_genome.fasta,Bacillus_subtilis_complete_genome.fasta,1.0,0.0
Bacillus_subtilis_complete_genome.fasta,Bacillus_subtilis_complete_genome.fasta,0.0,1.0
Salmonella_enterica_complete_genome.fasta,Bacillus_subtilis_complete_genome.fasta,1.0,0.0
Enterococcus_faecalis_complete_genome.fasta,Bacillus_subtilis_complete_genome.fasta,0.295981,0.704019
Listeria_monocytogenes_complete_genome.fasta,Salmonella_enterica_complete_genome.fasta,1.0,0.0
Escherichia_coli_complete_genome.fasta,Salmonella_enterica_complete_genome.fasta,0.178173,0.821827
Saccharomyces_cerevisiae_draft_genome.fasta,Salmonella_enterica_complete_genome.fasta,1.0,0.0
Staphylococcus_aureus_complete_genome.fasta,Salmonella_enterica_complete_genome.fasta,1.0,0.0
Pseudomonas_aeruginosa_complete_genome.fasta,Salmonella_enterica_complete_genome.fasta,1.0,0.0
Lactobacillus_fermentum_complete_genome.fasta,Salmonella_enterica_complete_genome.fasta,1.0,0.0
